athlete_uid,playing_level,cmj_jump_height_cm,actual_bat_speed_mph,pred_bat_speed_mph,residual_mph
e1e0fc0f-36f0-4c00-a85f-6230668843b9,Pro,51.34,70.5,71.3879478321016,-0.8879478321016023
a7863fd1-ef10-420e-aa9f-597e0f12ec78,Pro,54.64,70.3,71.9554730223344,-1.6554730223344052
dfc0dcaa-d4b2-495c-abfc-91989562d636,Pro,45.99,64.8,70.46786911460295,-5.667869114602951
62db832e-c358-49fa-af7f-7a47bdb64f9b,Pro,44.32,69.1,70.18066697287908,-1.0806669728790865
af558557-20d9-41ef-8394-7584daefa955,Pro,52.62,75.0,71.60807881497978,3.391921185020223
a31ca164-1910-49c3-8abb-83555e16da5b,Pro,36.17,78.4,68.77905173033442,9.62094826966559
6945a975-cdcf-4d49-b8e3-beb089c36fcb,Pro,53.59,73.0,71.77489682544216,1.2251031745578445
7be14792-be47-4f6e-a605-c779d85cb0fe,Pro,54.82,70.2,71.98642894180165,-1.7864289418016455
e7c4f4e4-a344-47cd-b284-30bc6acbd9cd,Pro,42.76,61.5,69.9123823374963,-8.412382337496297
70ffd727-f23b-4b7b-b3d9-c969930f862c,Pro,45.9,76.8,70.45239115486933,6.347608845130665
e1e0fc0f-36f0-4c00-a85f-6230668843b9,Pro,47.46,72.7,70.72067579025212,1.9793242097478867
7be14792-be47-4f6e-a605-c779d85cb0fe,Pro,55.17,71.3,72.0466210074324,-0.7466210074324096
e7c4f4e4-a344-47cd-b284-30bc6acbd9cd,Pro,45.16,75.1,70.32512793039288,4.774872069607113
6945a975-cdcf-4d49-b8e3-beb089c36fcb,Pro,53.84,73.4,71.81789115803555,1.5821088419644553
a7f5385e-417e-4ce8-9025-2292611fa318,Pro,43.19,71.7,69.98633258955694,1.7136674104430654
70ffd727-f23b-4b7b-b3d9-c969930f862c,Pro,43.96,77.8,70.11875513394459,7.681244866055408
a31ca164-1910-49c3-8abb-83555e16da5b,Pro,33.9,77.2,68.38866319038638,8.811336809613621
a761c1e8-96e0-4b61-9be3-5d72953d392b,Pro,47.49,72.0,70.72583511016332,1.2741648898366833
7b89bd06-e271-4cc4-9206-26ebe8cafd8a,Pro,36.36,74.1,68.8117274231054,5.288272576894599
f229cc18-33d4-44ac-9aba-281f53a00482,Pro,44.15,60.3,70.15143082671557,-9.851430826715571
f640e643-46cb-42bf-8139-c88ec7c1443c,Pro,37.39,62.6,68.98886407339018,-6.388864073390174
a8ab216c-7454-4e72-a9d8-3103cb0186ed,Pro,49.5,63.8,71.07150954421421,-7.2715095442142115
47a7fe0c-5f0a-410a-881c-47111ecca16a,Pro,34.67,67.0,68.52108573477405,-1.5210857347740472
ecd97284-067d-433f-b0c7-e12a50782a25,Pro,41.26,67.2,69.65441634193593,-2.454416341935925
f640e643-46cb-42bf-8139-c88ec7c1443c,Pro,37.1,72.1,68.93899064758183,3.161009352418162
