athlete_uid,playing_level,cmj_jump_height_cm,actual_bat_speed_mph,pred_bat_speed_mph,residual_mph
2ebec835-2245-4a9c-a82c-f39e2bf76795,College,38.81,66.9,63.33794192187718,3.562058078122824
9e647329-8263-4e43-ae3f-3c16e6afaf99,High School,28.73,56.2,56.92283241443535,-0.7228324144353451
86e2a7a9-3392-4a49-8d1f-30a71c7fd288,College,33.39,58.3,59.88854772243921,-1.5885477224392162
79bc1f99-b653-48aa-a698-308908dcbf1e,College,37.44,57.5,62.466047078107806,-4.966047078107806
1546b167-acac-4859-842a-293c011afbee,High School,28.27,62.1,56.63007940119891,5.469920598801089
d2a636aa-6148-431b-bca8-a14322813a7f,High School,31.88,58.5,58.92755413551092,-0.4275541355109169
db4ba4a5-8579-4ebf-bd2a-dab783d30184,College,49.37,72.5,70.0585328344353,2.4414671655647027
7b6cd196-15e9-4d77-b758-5f8422f19e31,High School,42.11,65.3,65.4381265820516,-0.13812658205159778
cb97b53e-2d0d-4f7e-a299-f4e30f3cbbb1,High School,41.27,55.3,64.90353412309811,-9.603534123098115
a4a5f303-b725-408b-9d95-21d1c3c8f65d,College,60.23,63.7,76.97004962519108,-13.270049625191078
8f5291fb-869f-4460-bd67-49224d7f0aff,College,41.66,66.3,65.15173776475508,1.148262235244914
9446e1c4-9f45-4818-89d8-d1424cc3c5de,College,41.43,58.4,65.00536125813687,-6.605361258136874
7c4e568b-717d-4c48-9dae-3e642139386c,College,48.34,69.4,69.40302065262328,-0.0030206526232774422
6cd1a54c-df72-45e6-9e72-50a344eea254,High School,30.39,55.7,57.97928894046247,-2.2792889404624646
77807806-6004-4a2f-b829-f588050694f0,Pro,46.85,72.4,68.45475545757483,3.945244542425172
aacd7d33-24c9-43de-a488-d5af669ca279,College,47.03,72.1,68.56931098449344,3.530689015506553
c1787421-dc4d-4980-a64a-119ecd26d49a,College,35.44,72.2,61.19320789012331,11.006792109876692
f48a6e85-95dc-4737-931d-296867fe0fec,College,35.62,65.8,61.30776341704191,4.4922365829580855
3f6e8dc6-1535-47b3-b573-53f8b5b2aabb,Pro,57.03,70.2,74.9335069244159,-4.733506924415892
cf50cb73-996c-4a79-ab4f-c133d7a0737d,College,36.41,61.6,61.81053489629579,-0.21053489629579047
a1bcd1fb-ff87-4719-98ef-4a87765a891b,College,35.4,67.9,61.167751106363625,6.732248893636381
84013ce6-8721-42aa-b27f-e05bfd67fa20,Pro,54.76,70.8,73.4888344460535,-2.688834446053505
dda2a9bf-4ede-4077-b07e-928c440b82f9,Pro,41.33,73.1,64.94171929873764,8.158280701262356
f7790043-8cdc-4141-9d68-0b18674a6259,College,45.86,71.3,67.82470005952251,3.475299940477484
f40be71f-fc08-46b2-a1fb-1bfa7796bb5c,College,43.66,67.9,66.42457695273957,1.4754230472604348
3db22afb-f8f0-434e-94bc-2b7cecb18736,College,60.71,80.0,77.27553103030736,2.724468969692637
3db22afb-f8f0-434e-94bc-2b7cecb18736,College,60.5,80.0,77.141882915569,2.858117084431001
